m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
854.189,3237.29,3012.75,39.9115,1,0.1937158732850754,25.32129125567577,0.0003285911627964694,0.00032902144747247534,3.9631429240926947e-07,3.1383165536660807e-09,0.9902375101018472,7.77227675909546e-11,2260.4253,2260.06233,2262.1307,1470.61893,2261.76795,1469.49758,5925.40228,5614.13356,5924.83413,5648.73917,5925.33724,5614.00479,5924.76908,5648.72865,2129.46512,1007.46057,2134.22147,5324.38271,5413.4316,4824.29377,5413.82897,6590.90331,1444.88068,2649.58894,2858.22139,2873.15842,2649.74397,2873.29289,123.678552,2819.97441,2821.15526
6376.69,8920.24,-1120.95,46.037,1,57.29660213958919,21.139127743390375,0.0003289140375113234,0.0003288067131029307,5.3230630281088357e-08,3.0851366077133394e-09,0.9979552525677337,9.029909778988901e-12,8502.25774,8500.41703,8502.9637,7154.84376,8501.12306,7150.41358,16291.8114,15477.2923,16291.6061,15572.4861,16291.4664,15476.5963,16291.2612,15572.4444,7811.71044,5356.01587,7813.29055,14041.6573,14236.2409,12605.2743,14236.2701,17220.2913,4188.86194,7416.90425,7448.11373,7548.52571,7417.04458,7548.6515,127.917286,7203.73333,7204.20464
123.045,7847.91,531.144,33.1201,1,1.2278486520546628,24.25913770959266,0.0003289118050667658,0.0003289892269379174,1.1086572070261514e-07,3.065733647365796e-09,0.9989433540028566,1.1828728628575932e-11,4980.7303,4980.39705,4981.68564,2882.91241,4981.35242,2881.73602,13317.0299,12527.2,13316.7777,12618.2732,13316.9043,12526.9568,13316.6522,12618.2451,4852.37961,2412.18669,4854.36962,12007.5581,12155.8802,10625.3753,12156.8951,15108.4797,3632.00272,6532.65358,6829.68192,6840.2316,6532.81797,6840.45089,127.556055,7134.99282,7135.46613
1986.0,5263.46,4809.38,44.5739,1,0.603319656889168,24.72360288355744,0.0003287599906420003,0.0003290699923430115,3.154754732702622e-07,3.1017018993503037e-09,0.9940736127837249,3.485165663703486e-11,3908.63615,3907.83977,3909.76704,2772.1425,3908.97082,2769.8876,9402.96194,8895.15778,9402.60404,8953.11445,9402.83225,8894.89661,9402.47435,8953.0974,3618.19811,1827.65299,3621.22388,8319.75093,8517.87463,7626.95421,8518.77336,10405.8863,2400.52057,4270.76964,4302.77144,4398.25807,4270.89216,4398.40993,125.320812,4060.15216,4060.97471
8053.18,9301.29,-40682.0,38.0565,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4841.64,6269.75,-23164.4,6.87601,1,6.51020423389243,24.454479247879885,0.00032899044511523767,0.00032883351984447595,4.238690680614336e-06,3.0596860949144078e-09,0.9999871583466313,2.0948593459660024e-12,6276.93249,6276.69257,6277.71535,5347.23147,6277.47545,5346.66354,11871.2641,11311.2303,11871.0065,11375.962,11871.1845,11311.1771,11870.927,11375.8466,6203.34427,5172.85275,6204.37811,8959.6113,11212.0421,3224.08308,8967.3194,12380.5773,2915.93276,5291.46531,12025.1646,12025.7821,5291.62745,12026.0404,114.693191,13553.1292,13551.6539
2955.85,966.088,13029.5,23.4145,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2331.34,6965.96,10327.3,13.1786,1,18.626536153135053,23.064447508181644,0.00032891516077937445,0.0003294668081147706,4.707888419990964e-05,3.0581657296690874e-09,0.9998406201264982,6.083741324718307e-12,5004.55924,5004.40048,5005.51042,3456.56605,5005.35168,3456.10677,12142.0964,11460.1338,12141.8222,11539.1983,12142.0733,11460.1062,12141.7992,11539.1766,4952.62733,3305.41913,4953.6847,11349.7952,11386.7449,9849.19033,11343.1005,13531.8756,3205.24577,5557.47874,5572.37002,5793.61336,5557.575,5793.77507,125.593475,7321.12736,7321.60396
1133.34,4760.08,-2108.36,18.6765,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6198.46,1007.07,-35029.4,32.1551,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7812.32,7287.82,4196.78,22.7834,1,337.8133463382023,19.511289216476342,0.0003289573086875805,0.0003290843681198433,2.4218512132162763e-07,3.057862867643852e-09,0.999725192233384,5.757591294159281e-12,9053.69272,9053.17301,9054.37825,8245.39804,9053.85855,8244.24926,14642.4027,14051.1932,14642.178,14120.2476,14642.3205,14051.0547,14642.0958,14120.2116,8879.7605,7857.61572,8880.60042,13203.1317,13732.1036,11289.1902,13205.2594,14397.5447,3394.71008,5316.82344,5320.61946,6129.2667,5316.849,6129.43054,127.223223,9673.95401,9674.31483
