m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
8853.06,4046.8,45172.5,20.1736,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440.37,9093.27,-88.7922,6.94658,1,4.052027888415195,24.305846181264993,0.000328961425639084,0.0003292931968945087,1.5782384475852572e-07,3.0594314680222742e-09,0.9999766287300005,1.8506020781445156e-12,5767.68778,5767.66747,5768.53671,3361.60872,5768.51641,3361.53778,15277.4422,14358.2349,15277.232,14464.757,15277.4206,14358.2221,15277.2104,14464.7234,5760.58504,3337.66975,5761.47921,14175.0845,14330.1575,12074.4417,14178.0324,17363.0045,4227.06165,7578.37377,8178.10368,8184.56701,7578.53699,8184.71272,126.374641,10068.8482,10069.2862
8392.57,6729.96,-37955.3,2.72914,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7911.71,3277.4,-39977.7,31.4086,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5923.28,5732.93,17277.6,34.3828,1,158.99712607283027,20.064815630850376,0.0003288970789535372,0.00032923640660882956,4.600661800207664e-07,3.047571462237874e-09,0.9987172333065942,1.1795020570618689e-11,6940.15977,6937.62936,6940.9517,6277.09218,6938.42145,6271.47534,11536.4986,11067.174,11536.211,11121.626,11536.3198,11066.8325,11536.0321,11121.5894,6089.88302,4160.68515,6091.15688,10026.4795,10376.6633,8538.89284,10028.3729,11420.1072,2630.68292,4776.77953,5416.39439,5421.32333,4776.94325,5421.54996,124.931377,6632.85662,6633.34501
7108.42,240.68,35934.8,46.812,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8709.97,7451.43,17970.0,33.2239,1,366.61368922420763,19.466318896173963,0.00032894893474557404,0.00032912547292762473,2.5955501043265853e-07,3.0530029033433017e-09,0.9993427587878561,7.865605439671347e-12,9878.5438,9876.23221,9879.20348,9114.92655,9876.89196,9109.89847,15322.0342,14738.9915,15321.8185,14807.1348,15321.84,14738.6275,15321.6244,14807.0916,9110.04697,7344.54698,9110.93422,13450.8855,13946.281,11540.8347,13452.1179,14699.0497,3465.27784,5821.06734,5828.24199,6255.77015,5821.20256,6255.93485,126.205076,9064.55624,9064.90558
747.393,9344.16,-1597.2,46.6891,1,0.4970095644000002,25.04247575290871,0.0003289011940978078,0.00032885205246765276,1.205796236275634e-07,3.100449896019618e-09,0.9976252042714006,1.1795703817470347e-11,5954.16694,5953.29333,5955.02282,3503.87485,5954.14928,3500.83329,15677.2589,14732.0112,15677.0443,14841.9587,15676.9484,14731.3753,15676.7338,14841.9223,5622.01743,2145.91428,5624.68978,13482.6151,13948.3602,12380.6154,13950.2188,17804.1076,4364.7947,7816.47759,8211.49246,8219.28558,7816.64206,8219.53113,127.74882,6736.05005,6736.55071
4551.39,5528.35,22286.3,37.1843,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912.06,3454.97,9679.5,11.694,1,32.54299178990492,21.15561422253674,0.00032878884850770284,0.0003302962330861875,1.2317194741478449e-06,3.056391215371259e-09,0.9996580298711951,1.4650588847564417e-11,2933.49061,2933.30935,2934.86981,2294.43181,2934.68862,2293.96664,6506.62401,6188.02776,6506.11354,6224.23548,6506.60695,6188.00866,6506.09648,6224.21848,2875.73944,2143.5828,2877.29343,5950.29505,6145.79895,5037.75211,5952.52274,7023.44342,1546.14727,2839.8765,3477.96105,3483.48884,2840.03861,3483.60619,122.063279,4446.41378,4447.21396
