m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
8562.53,7989.56,14763.0,46.59,1,33.13724760598002,21.42503266054398,0.0003288909953309308,0.00032919267665363424,3.804318183478379e-05,3.0505854627534815e-09,0.9973838858112385,1.0199932758657346e-11,9917.28973,9913.57544,9917.94807,9035.85143,9914.2339,9027.66177,15961.4449,15312.8313,15961.2375,15389.1594,15961.1166,15312.1744,15960.9092,15389.1196,8639.70089,5857.61019,8640.72519,13854.7037,13859.4109,12320.2782,13847.1963,15651.0116,3725.14319,5591.17143,5593.74402,6706.56289,5591.19232,6706.72684,126.366629,6435.40737,6435.91858
6418.71,6084.75,1806.98,38.414,1,183.51249687158992,19.996312891004315,0.00032889966948279094,0.00032883271698101605,1.217886823075487e-07,3.0633125073370753e-09,0.9983445064796683,1.487318246146921e-11,7479.05217,7477.82209,7479.81001,6787.51234,7478.58,6784.78098,12291.1137,11794.9948,12290.8452,11852.2255,12290.9318,11794.64,12290.6633,11852.194,7040.85186,5774.81674,7042.12471,10798.6286,11007.5406,9440.60435,10803.0373,12138.5427,2817.88302,4747.82124,4756.33474,5116.49809,4747.92835,5116.6627,126.740518,6680.40116,6680.90746
4388.04,8580.61,-24091.2,29.0482,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8914.58,937.783,5905.94,46.9086,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.778,2962.58,537.136,37.1435,1,0.13595151625473123,25.554867675126985,0.00032858703998340675,0.0003281694499701532,9.77199716216781e-07,3.1685810079352273e-09,0.9913565251561238,9.791459386602613e-11,1934.57568,1934.41811,1936.50443,1123.11588,1936.34698,1122.56123,5411.16052,5123.77372,5410.53921,5155.39391,5411.09689,5123.64853,5410.47557,5155.38258,1872.14163,884.189994,1877.98482,4852.54882,4915.50908,4333.43275,4915.52185,6062.33038,1318.13914,2431.52618,2870.46658,2877.52269,2431.68841,2877.74712,124.129545,2788.00804,2789.21853
2584.87,5974.2,10877.3,19.1821,1,46.86683889482341,21.693669856932438,0.00032888753222533074,0.0003294929596063655,1.0568072327775902e-06,3.056158954093212e-09,0.9995538632324188,9.766277220674312e-12,4602.62984,4602.22769,4603.63947,3386.82527,4603.23738,3385.73251,10649.6689,10076.3847,10649.3543,10142.5795,10649.6325,10076.3276,10649.3179,10142.5588,4469.6972,3013.63967,4470.96852,9869.19124,9945.2046,8566.8589,9870.76239,11725.1989,2734.19239,4885.19773,4931.61253,5000.97938,4885.31078,5001.12839,125.177729,6354.90426,6355.4361
2923.05,4371.68,-7165.46,33.1587,1,29.479962451519253,21.93625661922484,0.00032885606295951985,0.00032770776921670926,3.0302425951398665e-07,3.102296094952401e-09,0.9982010822831562,2.3802105438048168e-11,4050.61202,4049.40387,4051.70325,3335.55331,4050.49531,3332.58542,8285.66555,7888.41859,8285.26462,7932.82298,8285.48124,7888.06309,8285.08029,7932.78561,3641.32659,2199.27606,3644.51794,6926.47504,7232.93457,5638.38707,6938.05287,8798.09339,1999.49845,3658.9277,5599.15808,5600.43625,3659.09144,5600.83852,128.22384,5449.36558,5450.00029
1197.58,2264.37,723.928,18.97,1,14.290733578340827,21.581439302941554,0.00032858181471309624,0.00032982894673831307,8.566080112174617e-07,3.060288295679116e-09,0.9976982372046681,6.099799450055022e-11,1897.88727,1897.82502,1899.84244,1461.53328,1899.78025,1461.36969,4385.12179,4177.99781,4384.36071,4200.5498,4385.10453,4177.97069,4384.34345,4200.54019,1876.53127,1404.62979,1879.48838,4021.73709,4117.32505,3473.75441,4032.82606,4744.77632,999.873049,1853.31495,2231.38319,2240.03093,1853.47224,2240.18038,123.063883,2783.90651,2785.13246
1969.81,1118.54,1966.79,32.6865,1,20.750058604141554,20.395157873520514,0.0003283274723748154,0.00032556297422831466,1.140179797014603e-05,3.064215430797243e-09,0.9852453493485527,1.967990634306854e-10,2094.12843,2093.77792,2095.96492,2011.13583,2095.61467,2010.40365,2928.03994,2857.19493,2926.91272,2864.35022,2928.00247,2857.12623,2926.87525,2864.34171,1979.53633,1762.51886,1982.50832,2525.98679,2699.11932,2163.04574,2535.49273,2538.65409,482.604683,897.139201,1035.59112,1058.78874,897.204405,1058.81184,119.452177,1899.1334,1900.92835
8579.76,6564.39,31086.0,20.4653,1,417.01383752161445,19.2246693790805,0.0003289783601030263,0.00032915562135394895,2.5547406811767525e-07,3.0569300899558086e-09,0.9998604250928771,3.6796990209541486e-12,9509.89026,9507.92777,9510.56173,8896.46335,9508.59931,8892.25605,14083.3983,13594.5782,14083.1636,13652.5885,14083.2298,13594.303,14082.9952,13652.5133,8878.14419,7479.85628,8879.03184,11651.0161,13065.4256,8601.23511,11651.907,13032.2079,3033.35542,5498.14366,9054.51652,9055.3945,5498.30722,9055.71753,125.284063,11835.8215,11836.1481
