m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
6732.32,2845.92,20462.8,12.7867,1,289.9212888659135,18.73756047724539,0.00032894467818412546,0.0003294231096071672,5.792765929659581e-07,3.0576026694606844e-09,0.9998997728327955,5.238723521443227e-12,6956.51533,6955.98593,6957.304,6803.22792,6956.77463,6802.1437,8395.83838,8248.21259,8395.44411,8265.58347,8395.76231,8248.11969,8395.36804,8265.52116,6796.36631,6471.31006,6797.33776,6492.75177,8068.17413,3719.55987,6494.4314,6078.24411,1277.91489,2372.01144,6000.59204,6001.43352,2372.17485,6001.83197,122.926542,8835.8316,8836.50302
2969.64,435.132,-17625.4,41.1372,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4703.77,308.995,-26104.1,32.4741,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8080.81,7192.74,-40749.5,18.7481,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.6539,8525.6,-38.5284,44.5991,1,0.6081163297510801,24.854567392443258,0.0003288913928953037,0.00032887812707856865,1.144412334138391e-07,3.0932708926094877e-09,0.9976202976193725,1.3391841603741437e-11,5400.23529,5399.61483,5401.14401,3126.26594,5400.52361,3124.06759,14380.4051,13519.5682,14380.1711,13619.3275,14380.1625,13519.0745,14379.9286,13619.2964,5154.42333,2148.03344,5157.09304,12520.4396,12907.2306,11454.4363,12909.0225,16330.0981,3964.04872,7111.90084,7368.15836,7380.2265,7112.06549,7380.45381,127.473433,6422.15644,6422.68205
4014.2,4387.96,5667.65,17.99,1,103.90783427597798,20.23180172287583,0.0003288641350596241,0.00032947235420085,6.407348379209979e-07,3.0561453047661078e-09,0.9995122190006982,1.4406054347235909e-11,4890.92465,4890.70643,4891.89726,4320.90612,4891.67907,4320.40929,8728.27812,8356.05339,8727.89802,8398.48338,8728.24715,8356.00738,8727.86705,8398.464,4819.52902,4157.50335,4820.70292,7972.98059,8247.97184,6853.15224,7975.91928,8890.08224,1995.63355,3488.48943,3508.65271,3669.29248,3488.49345,3669.44052,124.815742,5733.49226,5734.11125
1558.69,50.2785,-2662.37,3.3682,1,994.341258606135,13.589711366789802,0.00032837799062193266,0.00032179853304139925,2.362416662724378e-05,3.0588585123719666e-09,0.999848788699658,7.744986546123208e-12,1551.78976,1551.78414,1553.84115,1556.51856,1553.83553,1556.50733,1544.21466,1548.5893,1542.33901,1547.45412,1544.20749,1548.58791,1542.33183,1547.44113,1550.17585,1549.05144,1556.47634,1126.49149,1545.48548,411.480514,1148.79704,197.854509,20.6291735,41.3545197,1133.89098,1137.95708,41.2920811,1138.40697,109.591728,2002.68652,2003.79389
4225.25,5791.84,10784.1,24.5943,1,113.88102135373155,20.401465665980055,0.0003288948184512815,0.00032932869089456805,3.135528217886023e-07,3.0545147020954477e-09,0.9993128461074443,1.33623268666529e-11,5602.80531,5602.1207,5603.69886,4723.32148,5603.01431,4721.68898,10882.953,10362.2736,10882.6456,10422.4776,10882.8911,10362.166,10882.5838,10422.4539,5375.34262,4163.28067,5376.55492,9934.74701,10119.1148,8600.84833,9937.07132,11462.7634,2656.67653,4650.55795,4669.12433,4837.93407,4650.66173,4838.09322,125.312189,6566.32443,6566.83464
9462.01,2251.46,8364.1,17.7184,1,0.04829334061410927,27.714450239286272,0.0003289484102992521,0.00032922283584159396,4.281192095744048e-07,3.0570544902194777e-09,0.9998051570213242,7.051901593709694e-12,9543.92039,9543.45245,9544.59276,9489.5843,9544.12483,9488.64182,10197.4414,10137.5078,10197.1118,10142.9153,10197.3698,10137.4063,10197.0402,10142.8721,9401.305,9200.08998,9401.98335,8460.08117,9895.20463,6543.98348,8460.9688,5098.21534,674.597622,682.20746,1016.92069,1911.94044,679.251458,1912.10337,125.208368,9042.41731,9043.05241
5682.32,5341.64,12435.4,39.2407,1,103.82643868317147,20.47396945117384,0.0003288577423635648,0.0003292059209389121,4.7500688513891647e-07,3.0458317152503006e-09,0.9975788388195342,1.856287918479861e-11,6608.35242,6606.13537,6609.16659,6003.30474,6606.9497,5998.4042,10875.505,10443.1024,10875.2005,10493.124,10875.3299,10442.7611,10875.0254,10493.0948,5861.41121,4179.09239,5862.74369,9516.4659,9714.91336,8305.14835,9519.47152,10710.61,2447.71207,4345.30099,4373.26011,4484.30366,4345.39986,4484.43759,124.985988,5572.49672,5573.08574
