m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
7989.31,8173.65,-3247.17,25.3741,1,372.03767004883275,19.554499293334036,0.0003289689002005111,0.0003289561528094097,1.639133103327794e-07,3.0595737226534887e-09,0.9997214169303096,4.300347965892294e-12,9495.96758,9495.23218,9496.63612,8520.94931,9495.90075,8519.29508,15945.0975,15257.5116,15944.8906,15337.3578,15944.9635,15257.2735,15944.7566,15337.3108,9246.98515,7954.71654,9247.93926,14148.9053,14741.4392,11934.3866,14151.9278,15994.0625,3832.41622,6889.28278,7219.79739,7229.54021,6889.44612,7229.75717,128.440423,10686.2375,10686.5636
9107.17,2343.21,-8547.45,40.9904,1,591.5318465212127,17.835322636553933,0.000328888467373361,0.0003269963687891401,7.035804157766198e-07,3.0822560288994333e-09,0.9977206528777445,1.7373758562809306e-11,9207.02031,9204.32636,9207.70393,9140.42467,9205.01008,9134.98326,9960.60213,9887.5023,9960.2645,9894.41378,9960.23678,9886.81377,9959.89914,9894.36163,8349.81721,7307.08408,8350.76212,7369.56434,8377.21331,5973.47933,7374.40661,5300.55396,1079.23909,2023.50932,3257.97107,3260.22957,2023.67283,3260.66602,126.807733,6179.40848,6179.99752
1600.72,1494.4,2824.02,9.3847,1,20.52499092102067,20.833677157006104,0.00032847005760292935,0.0003325821900713235,5.211595479872466e-06,3.0544323872838138e-09,0.9991975946798286,4.529716578518755e-11,1869.9203,1869.88982,1871.89205,1692.10412,1871.86159,1692.03644,3280.77272,3162.84873,3279.7865,3175.52948,3280.76649,3162.8435,3279.78026,3175.52158,1860.40142,1670.83085,1862.54796,2986.73477,3150.53026,2540.53534,2993.68114,3262.67662,648.986613,1209.6998,1462.29787,1477.08007,1209.81333,1476.87379,118.991986,2355.54723,2357.03845
3902.18,9509.24,3333.4,2.69596,1,139.78841379694077,20.950531121499687,0.0003289860640486388,0.00032921897912015403,1.657912616645424e-07,3.059643634723594e-09,0.9999979011700179,4.807663472156229e-13,7163.4,7163.39537,7164.05971,5221.85673,7164.05507,5221.84391,16395.9886,15466.4819,16395.8379,15575.521,16395.97,15466.4799,16395.8193,15575.4834,7161.86941,5217.73658,7162.53598,15117.752,15463.3449,12770.1473,15120.6383,18183.9255,4442.45759,7948.69871,9725.42111,9728.45103,7948.86234,9728.52983,115.81159,12988.9729,12989.9654
2939.27,9795.09,14647.9,46.3458,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6759.63,9206.54,33999.1,45.8495,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9197.08,4973.14,-33384.4,39.4518,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537.67,4405.7,13428.1,16.3466,1,50.596262588418014,20.939388049576976,0.0003288566639008374,0.00032972410734351644,7.76921953017899e-07,3.0552680134549315e-09,0.9995825315212791,1.2532750205245028e-11,3794.59509,3794.07961,3795.74472,3006.76869,3795.22935,3005.46259,8187.55359,7780.20751,8187.14478,7827.06438,8187.51705,7780.15399,8187.10823,7827.04045,3626.79463,2560.94007,3628.23649,7407.56067,7666.30834,6215.37215,7409.25192,8816.53515,1991.5564,3637.91953,4523.85033,4527.61398,3638.08327,4527.82082,123.280767,5579.7545,5580.37834
6458.45,6791.07,1379.86,39.3583,1,142.99866124213952,20.407218969384196,0.0003289090929136931,0.0003288401708141646,7.404800839221664e-07,3.0650908823874786e-09,0.9984261221779878,1.3522291983737552e-11,7750.5062,7749.21097,7751.24896,6913.06902,7749.9538,6910.13924,13293.9189,12718.8001,13293.6693,12785.2934,13293.7152,12718.4005,13293.4656,12785.2599,7283.07789,5810.23477,7284.39146,11703.8409,11844.5909,10255.3591,11708.5025,13415.3756,3156.94825,5383.33757,5392.86694,5713.86499,5383.48526,5714.03052,127.087027,7014.8704,7015.3527
3956.64,6739.56,10352.8,39.8376,1,5.415209841013377,23.74526134735758,0.000328865669933575,0.00032920600519290526,4.0752009890446345e-07,3.056354182993804e-09,0.9976481807924464,1.7354176638131486e-11,5826.86428,5825.28835,5827.73684,4659.51331,5826.16105,4655.55161,12205.9303,11576.2808,12205.655,11649.2051,12205.7844,11575.9934,12205.5091,11649.1811,5281.55224,3108.38333,5283.21558,10937.7081,11047.5654,9789.88935,11046.4537,13167.4533,3106.85085,5205.47184,5212.98044,5617.59194,5205.59333,5617.75671,125.810287,5753.95379,5754.52244
