m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
3667.46,8215.87,-13405.7,14.1829,1,108.13738856942231,21.070469856388176,0.0003289775059352132,0.0003289758736354029,1.9283334908643673e-07,3.059700084242602e-09,0.9999277276613431,3.665708283660539e-12,6369.94272,6369.50542,6370.75492,4744.07479,6370.31765,4742.89335,14388.4358,13593.63,14388.2069,13685.1589,14388.3494,13593.511,14388.1206,13685.0928,6226.26076,4349.92229,6227.41147,12482.5805,13354.9952,9633.46176,12487.468,15843.9919,3838.9858,6904.19193,10271.5448,10272.4103,6904.35542,10272.7979,130.198668,11663.213,11663.6303
5816.92,8165.21,-11449.0,10.6461,1,233.0574295458086,20.049708941161267,0.0003289813172274704,0.00032906461719255266,1.8427876811285969e-07,3.059473982940968e-09,0.9999626475536489,2.13171329629571e-12,7774.66807,7774.46468,7775.39555,6533.98268,7775.19216,6533.49349,14995.4436,14251.4029,14995.2261,14337.3971,14995.3856,14251.3416,14995.1682,14337.335,7709.11909,6376.96209,7709.99532,13156.0859,14124.2245,10340.3966,13160.1653,15853.3409,3823.69966,6882.00146,9635.65845,9636.87873,6882.16493,9637.18822,129.354,12198.7084,12199.1477
8838.49,7639.29,22871.1,37.1579,1,322.98782878442387,19.634373811620872,0.00032894205621625836,0.00032914190474223195,2.6924011301441897e-07,3.050399881994326e-09,0.9991105172767026,6.562009347922445e-12,10046.1691,10042.3494,10046.8241,9257.85038,10043.0045,9249.53226,15633.9106,15033.6699,15633.6988,15103.8922,15633.6248,15033.1213,15633.413,15103.8413,8762.77857,6131.48839,8763.75672,13431.5703,13915.8911,11458.6566,13432.9449,15014.3776,3550.85552,6398.9747,6842.35407,6849.43974,6399.13835,6849.66165,126.023014,8625.24054,8625.60704
4446.72,5844.81,24686.6,49.8308,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529.77,3445.91,9329.91,42.3775,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8358.22,9210.64,-46333.6,21.886,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295.226,8502.96,1373.7,17.9921,1,2.5280685203609683,23.991746773605303,0.00032894277999856,0.0003291634624954281,0.00017791472664699175,3.058778085142741e-09,0.999789171249885,5.265929178365803e-12,5392.78792,5392.6798,5393.69364,3131.99607,5393.58553,3131.61682,14348.2854,13490.5517,14348.0526,13589.7574,14348.238,13490.4785,14348.0052,13589.7283,5353.42702,2996.31008,5354.59956,13303.3626,13325.9557,11476.8397,13306.7478,16295.8451,3943.06452,7071.81139,7277.10853,7293.10918,7071.97459,7293.30026,127.724872,8671.69998,8672.10948
7536.46,4422.45,14969.5,13.4542,1,365.01347211385547,18.942347508427773,0.0003289450302866678,0.00032932680368563227,4.4525040013164016e-07,3.058174246976265e-09,0.9998857074967655,4.7962339163752385e-12,8023.80145,8023.45456,8024.53096,7700.14801,8024.18409,7699.42362,10764.2833,10477.5124,10763.9788,10510.2288,10764.2362,10477.4553,10763.9317,10510.189,7915.66383,7472.84511,7916.45797,9374.37958,10350.1924,7517.12043,9375.32468,9131.79381,2022.11094,3702.26123,4396.16758,4401.20929,3702.42388,4401.3643,124.326243,8841.04677,8841.5561
9199.55,9922.78,-28767.2,10.7535,1,473.8505034826446,19.50394470225977,0.00032900995657284855,0.00032895243947415236,2.483373009558352e-07,3.059676403585286e-09,0.9999841200335786,1.0934582728037188e-12,11107.6772,11107.1072,11108.286,9873.84865,11107.7161,9872.55587,18941.7104,18089.6819,18941.5413,18189.5178,18941.5799,18089.5396,18941.4108,18189.3838,10928.4532,9465.45727,10929.2572,15244.2307,17813.5456,9463.79175,15248.2425,19152.0848,4708.66645,8440.09492,15731.1397,15731.6032,8440.25754,15731.9421,131.588251,18907.0577,18907.4403
3748.48,6221.59,-5136.14,6.51924,1,111.99862191522496,20.48174718992701,0.0003289444199881057,0.00032930506575955905,2.835886248278983e-07,3.0594307014437394e-09,0.9999729286095754,2.5310517339310355e-12,5453.29631,5453.25768,5454.17076,4386.09197,5454.13213,4385.99477,11378.7992,10800.169,11378.5205,10866.3145,11378.7751,10800.1554,11378.4964,10866.2768,5440.783,4355.03153,5441.7311,10233.9525,10771.2614,8355.32146,10238.9404,12247.7276,2872.97714,5204.37403,6822.52588,6824.97339,5204.53765,6825.17851,126.176869,8799.55731,8800.14116
2963.23,4725.78,11289.5,35.5773,1,0.6355371233736398,24.584796798149455,0.0003287970164226396,0.00032945082012023893,2.8357852167618347e-06,3.047314708591378e-09,0.9970313537724276,2.5023901909363802e-11,4229.96008,4228.30511,4231.03316,3431.36103,4229.37847,3427.26177,8816.23942,8383.16444,8815.85804,8432.56873,8816.133,8382.95933,8815.75162,8432.54785,3665.02423,1700.09137,3667.09954,7913.35383,7960.01416,6919.90033,7918.82551,9428.63144,2142.70723,3902.84304,4203.34866,4213.76685,3903.00481,4213.9363,124.168145,4526.66075,4527.37023
159.129,9751.39,658.108,43.5616,1,0.9806687586364489,24.544726151578985,0.0003289177273369567,0.0003289135315643463,8.920139961616549e-08,3.080312968325172e-09,0.9982717576109994,9.604108369759005e-12,6158.71644,6158.07066,6159.55556,3573.61998,6158.90983,3571.33838,16289.3963,15300.6627,16289.1898,15415.9513,16289.1438,15300.1499,16288.9373,15415.9173,5900.26908,2565.94601,5902.50584,14246.584,14683.2266,13017.8113,14684.7764,18530.7545,4556.47314,8113.91229,8182.61427,8228.50335,8114.07396,8228.69735,127.822099,7366.85175,7367.30945
8935.75,3275.01,-45077.8,48.7115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5062.46,8576.66,905.475,48.8617,1,29.94048626158758,22.308500644288607,0.00032887965468739156,0.0003288783903096274,1.0953001253966955e-07,3.0959243946476823e-09,0.9967737008975014,1.5243601704035128e-11,7418.03299,7416.44894,7418.79116,5950.39901,7417.2072,5946.39727,15319.6068,14512.5597,15319.3879,14606.7924,15319.2812,14511.8964,15319.0623,14606.7572,6802.06161,4235.19797,6803.96827,13137.8316,13486.3012,12060.0248,13487.5019,16542.2012,4013.29415,6976.56497,6990.01205,7214.53077,6976.7658,7214.69753,127.454334,6085.28634,6085.84369
1918.11,7378.51,5168.49,16.4994,1,3.0035833050081036,23.969799880680707,0.0003289211025824817,0.0003292969541139836,0.0002523085858916184,3.0581164880830326e-09,0.999765831840654,7.341205364901333e-12,5064.00256,5063.88917,5064.94716,3316.801,5064.83379,3316.45243,12720.2156,11989.6979,12719.9531,12074.1156,12720.1836,11989.6519,12719.9211,12074.0927,5024.90557,3197.42634,5026.0463,11851.9751,11891.1945,10309.1267,11864.4201,14280.0583,3404.47446,5948.87663,5966.37992,6150.04339,5949.01609,6150.2065,126.684197,7556.2577,7556.71768
5996.44,5789.7,24312.4,8.04422,1,230.29646040891674,19.685245279409074,0.00032896269046169414,0.00032930763367978284,3.62751679439671e-07,3.0592117058545457e-09,0.9999693690790458,2.1796783832584405e-12,7020.70565,7020.46079,7021.47811,6349.86589,7021.23326,6349.3225,11648.6238,11175.5491,11648.3473,11231.7617,11648.5831,11175.5179,11648.3066,11231.7073,6944.96288,6180.93758,6945.77143,10078.5886,11110.2984,7667.57073,10079.3935,11512.8576,2657.52395,4826.56453,7460.17594,7461.61615,4826.72821,7461.81718,122.885668,10185.133,10185.6298
7761.24,8477.57,-31995.5,42.5536,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9886.03,6753.3,3351.13,12.3677,1,470.84443218319,19.14402358979036,0.0003289753519063616,0.0003291455677782221,2.76752123323637e-07,3.0590283883271463e-09,0.9999422049939832,2.69383840149731e-12,10742.7418,10742.5519,10743.3725,10179.4309,10743.1826,10179.0283,15135.6202,14658.2792,15135.4055,14712.8596,15135.5769,14658.2317,15135.3621,14712.8171,10682.0941,10050.6546,10682.7614,13554.6744,14547.2483,11313.5061,13556.3915,13564.3164,3146.28689,4649.06832,4651.97574,5699.92929,4648.87987,5700.09284,126.883462,11453.487,11453.932
7834.36,6783.19,-27902.7,41.2092,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654.95,5114.11,10599.9,36.3764,1,255.4084040596475,19.423659537471753,0.0003289030051819935,0.00032910199759597213,5.185890467369071e-07,3.04920751490242e-09,0.9985801924813859,1.4198440700934153e-11,8296.10693,8294.26129,8296.82707,7872.53443,8294.9815,7868.63303,11695.7536,11338.8043,11695.4713,11379.4482,11695.5763,11338.4702,11695.2941,11379.4146,7684.39007,6512.65147,7685.33699,10110.1038,10583.3132,8727.71226,10111.855,10422.6414,2349.82892,3621.21219,3625.66189,4289.7529,3621.0912,4289.91654,125.460401,6819.48728,6819.98178
1551.38,4004.91,1704.99,13.4814,1,26.537481964254788,21.772469684257253,0.0003288024334548155,0.00032987084314226316,2.7677942781368617e-07,3.057575801033822e-09,0.9995779449829985,1.527013319190666e-11,3008.46319,3008.41888,3009.81604,2141.40409,3009.77174,2141.27855,7309.03599,6926.72673,7308.58159,6969.66762,7309.01944,6926.70615,7308.56504,6969.65283,2993.34596,2098.98138,2994.97734,6773.16495,6879.31433,5848.98679,6779.01762,8065.13531,1807.05086,3300.8754,3635.74859,3645.99204,3301.03423,3646.08698,124.841935,4618.22531,4618.99163
6049.12,3908.29,-30402.1,19.1511,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
