m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
9307.55,4219.73,23198.6,21.5629,1,636.920954117715,18.36292402724752,0.0003289655043903284,0.00032921897364498554,3.0949083502241086e-07,3.0557164311557552e-09,0.9997978226318233,5.349860941260031e-12,9660.85716,9659.35374,9661.52522,9424.33838,9660.02185,9421.25146,11800.8636,11570.4448,11800.5814,11596.9658,11800.7043,11570.185,11800.4221,11596.8998,9190.06778,8431.15272,9190.92945,9497.46334,11059.8189,6887.08157,9498.48448,8795.9959,1928.51335,3543.86618,6465.92207,6466.94997,3544.02978,6467.2619,124.928446,10423.8895,10424.2952
1631.8,9707.87,-2893.46,11.5966,1,4.4295519014246985,23.941754561717023,0.00032896966342557026,0.00032918054962718794,1.103748001291369e-07,3.0592682103127467e-09,0.9999438619138414,2.6648132962084142e-12,6343.52792,6343.44239,6344.34374,3912.56362,6344.25822,3912.28223,16310.951,15333.1555,16310.7486,15446.711,16310.9119,15333.1114,16310.7094,15446.6706,6313.93537,3817.23547,6314.87172,15008.1792,15236.8457,12682.7384,15011.3729,18475.9717,4532.68307,8114.5943,8980.52713,8984.57916,8114.75817,8984.80453,128.322511,10828.5918,10828.9692
4520.2,8919.84,7334.68,15.4215,1,170.80288659418306,20.46118080573109,0.00032895629895576665,0.00032923857482523123,2.3328146825168206e-07,3.058587222799042e-09,0.9998740337535391,3.805447538346791e-12,7223.99795,7223.8254,7224.76415,5569.27195,7224.59161,5568.822,15658.3349,14803.9829,15658.1223,14903.9507,15658.2969,14803.9312,15658.0842,14903.9209,7166.09531,5419.20097,7166.96666,14542.3112,14682.8211,12580.6299,14544.031,17138.3371,4160.02143,6816.8826,6821.95158,7456.8307,6816.99646,7456.99483,127.152853,9628.01609,9628.37916
5072.23,848.884,19628.3,36.4977,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049.73,1751.08,23065.2,16.3252,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062.75,1576.42,-11664.2,10.5479,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391.0,7827.84,-3293.53,48.5465,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9626.98,3019.88,-37367.4,36.3492,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101.71,2963.76,-8195.65,40.9866,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7968.09,2919.41,-16111.2,30.391,1,352.93006055271485,18.584774125455972,0.00032894346103663286,0.0003266526054957252,9.53572460050555e-07,3.0832279107113632e-09,0.9993244988601541,9.823698386558241e-12,8166.8751,8164.53556,8167.59201,8031.43864,8165.25258,8026.66484,9482.85696,9346.39925,9482.51122,9360.95685,9482.51676,9345.78153,9482.171,9360.87984,7437.77065,6463.13134,7439.28601,6608.99391,8179.33426,3899.54311,6617.32811,6351.67114,1350.55044,2513.13599,6725.06089,6725.6097,2513.29868,6726.05928,130.162318,8312.65948,8312.98721
5801.97,5567.15,29212.8,31.4177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7685.67,9336.75,32398.3,13.1331,1,361.43133945385546,19.72062419747412,0.00032898873626565825,0.0003291637808321742,1.757330708902495e-07,3.058950591058666e-09,0.9999536327114948,1.7825648451265443e-12,9661.49184,9660.69952,9662.15316,8393.83717,9661.36087,8392.00545,17385.0106,16560.7159,17384.8198,16659.2845,17384.9341,16560.6197,17384.7433,16659.2189,9408.40939,7798.14853,9409.14077,15382.9147,16359.5692,12334.3938,15383.4703,17956.8136,4364.06019,7823.54912,9978.33379,9979.93878,7823.71275,9980.20453,125.715728,13403.0178,13403.2992
769.635,288.313,4198.73,38.9258,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8630.34,1008.33,39604.4,32.3415,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3426.04,9228.45,10720.1,22.7862,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7335.88,7670.59,-18455.5,12.0591,1,325.8235530175769,19.646775079977054,0.0003289917086703287,0.0003289324679431296,2.3225187868322245e-07,3.059660305124786e-09,0.9999626595998102,2.0580069224813125e-12,8785.01188,8784.5774,8785.69544,7845.8364,8785.26098,7844.85528,14954.0123,14304.0658,14953.7965,14379.1162,14953.9167,14303.9508,14953.7008,14379.0284,8647.44471,7533.79614,8648.37237,12436.5571,14075.1273,8743.65973,12441.1892,15047.5075,3601.05199,6498.51681,11126.3984,11127.03,6498.67988,11127.4305,130.801084,13830.3924,13830.8263
1168.25,8881.44,-6622.69,47.8238,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585.56,1233.42,10893.7,36.413,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591.71,9330.36,-8839.07,41.6208,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850.0,8680.73,21585.4,40.8254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3814.63,5159.39,22444.4,20.2071,1,70.42416118505186,20.91101762863233,0.0003289214656794174,0.0003293237079736315,5.376761054768993e-07,3.0542120655632665e-09,0.9996681678761188,9.131282787898946e-12,5032.7758,5031.1268,5033.72977,4251.70031,5032.08096,4247.77772,9771.5924,9310.83422,9771.24904,9364.70306,9771.48603,9310.65739,9771.14266,9364.6549,4481.61326,2760.65257,4483.03209,8313.39277,8973.82827,6387.73709,8314.72182,10226.667,2346.34701,4274.63042,6801.44491,6802.67578,4274.7944,6802.99106,123.612671,7577.54481,7578.01009
6298.97,4061.75,-2926.16,6.12897,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2058.09,2539.46,1466.71,10.5145,1,32.513845456045296,20.86083912375638,0.0003286971894517826,0.0003305414557278155,1.5722880655403975e-06,3.0570194621189893e-09,0.9995516491373542,2.137929545497504e-11,2631.07767,2631.04623,2632.57372,2259.69539,2632.5423,2259.62154,5114.77908,4895.69715,5114.13804,4919.84064,5114.76896,4895.68741,5114.12792,4919.829,2620.9153,2235.84031,2622.60917,4688.74441,4872.9188,4008.17145,4695.94748,5316.37035,1128.92355,2084.69901,2382.5624,2394.72203,2084.84597,2394.68955,122.696129,3512.85084,3513.9208
611.226,8433.5,-911.744,11.7402,1,3.023770849202565,24.177824104022324,0.00032895064152415465,0.0003292539329888311,8.566259377807544e-07,3.0591118057891244e-09,0.9999202617229754,3.678613382547324e-12,5377.33374,5377.27466,5378.23509,3153.61616,5378.17602,3153.41119,14252.8976,13403.0868,14252.6656,13501.1782,14252.866,13403.0511,14252.634,13501.1458,5356.53766,3083.28923,5357.57372,13180.0569,13323.5967,11229.7782,13183.1428,16174.8685,3911.28573,7027.89392,7646.05473,7651.71654,7028.0577,7651.91411,127.676443,9207.75869,9208.18044
1200.16,9466.35,7001.89,48.4493,1,0.6032580431435053,24.818678709731042,0.0003288791989162944,0.0003290881565556906,1.6813949418122374e-07,3.0836447745975164e-09,0.9968573823134851,1.3814372568592378e-11,6096.6697,6095.60962,6097.51634,3666.26143,6096.45635,3662.69889,15881.0915,14925.8497,15880.8793,15037.4452,15880.847,14925.3482,15880.6347,15037.4179,5700.57751,2031.38186,5702.84898,13836.9595,14400.773,12951.2158,14401.9545,18015.9199,4412.45167,7252.52172,7257.17227,7902.34747,7252.69844,7902.51205,126.886907,6088.75368,6089.3008
6374.47,4525.71,-4050.15,26.1794,1,260.5595677046982,19.324154686032614,0.00032891844379116504,0.000328595803501538,4.7568186968502893e-07,3.061276659025222e-09,0.9993700132546759,1.0981440346580994e-11,6981.90621,6981.22222,6982.69257,6581.08112,6982.00862,6579.6207,10173.9364,9848.13661,10173.6143,9884.58771,10173.8236,9847.93779,10173.5015,9884.55147,6756.47633,6091.42128,6757.71032,8768.01385,9421.78579,7236.53338,8772.7605,9296.47262,2083.41025,3812.63808,4600.71974,4604.75742,3812.80152,4605.01701,127.207474,7357.64834,7358.14796
3529.22,6293.87,-14923.5,40.41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499.52,3733.07,-13880.8,49.9659,1,21.354472970664702,22.309707657740994,0.0003287901656189791,0.00032549685541754213,5.907288307731434e-07,3.5520280453312172e-09,0.9935026483351569,1.9515193896326726e-11,6913.02272,6907.84174,6913.80898,6638.8163,6908.62833,6627.9663,9277.28207,9033.55755,9276.93058,9059.79773,9276.60413,9032.2207,9276.25262,9059.73116,5247.90035,1884.74631,5250.40224,6293.11053,6911.23828,4772.14547,6308.93165,7795.30614,1729.04566,3187.76169,6522.32187,6523.05108,3187.92466,6523.45961,129.405386,4298.54238,4299.33746
9526.56,5865.23,18081.8,8.78137,1,522.935035961044,18.868249977203888,0.00032897522936833673,0.0003292397165428183,2.8268994510667735e-07,3.059268134591679e-09,0.9999710054305744,1.8225758915277744e-12,10198.3958,10198.2204,10199.0388,9754.04857,10198.8635,9753.68112,13813.1561,13422.0011,13812.9228,13467.1878,13813.1183,13421.9718,13812.885,13467.1391,10144.0272,9639.92465,10144.6873,12148.9052,13355.8697,9780.4838,12149.6521,11888.4692,2712.00972,4925.63602,5468.08917,5475.01947,4925.7976,5475.11591,124.484846,11471.2203,11471.7375
222.926,3448.1,-13.0275,5.11679,1,0.657155572755928,25.292117548299647,0.00032877686772269895,0.0003305060388370578,7.341296441805169e-07,3.0590933206914232e-09,0.999929448205674,9.877758112747251e-12,2239.71144,2239.70678,2241.31385,1295.77386,2241.30919,1295.75745,6226.05054,5889.4664,6225.55355,5926.72747,6226.0424,5889.46335,6225.54541,5926.71313,2238.07629,1290.15232,2239.7614,5755.93734,5883.11852,4903.97174,5764.5103,6991.14582,1540.90212,2833.22175,3577.82071,3583.63476,2833.38232,3583.60784,121.378092,4302.06052,4302.90598
2358.88,6967.89,-1080.65,46.0596,1,0.7889744989934584,24.688081040236565,0.0003288491852325183,0.00032873557407856824,9.829251469676262e-08,3.1224510366815253e-09,0.9963657760090847,1.826595800285456e-11,5022.47963,5021.61533,5023.43241,3478.9003,5022.56822,3476.36771,12161.9119,11479.1355,12161.6356,11557.7511,12161.669,11478.6414,12161.3928,11557.722,4693.61666,2396.59666,4696.62213,10499.0945,10774.0423,9559.6643,10775.8042,13544.0943,3224.52435,5815.8509,6283.97734,6290.54653,5816.01498,6290.78545,127.137136,5365.52881,5366.16473
7918.08,1939.36,31673.7,38.4219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5680.41,1070.6,2106.57,8.27989,1,0.014496988765495598,27.89454118235797,0.0003288620696541518,0.00032962096539815116,1.3189326335734192e-06,3.058403304091421e-09,0.9998922674886911,7.507714623968832e-12,5704.43348,5704.37936,5705.31172,5688.69957,5705.2576,5688.59086,5968.06134,5950.75899,5967.50947,5951.62406,5968.04267,5950.74641,5967.4908,5951.59904,5688.0868,5655.81805,5688.96763,4983.32647,5920.14222,3768.9711,4985.1265,2598.37035,309.662356,326.465922,478.620541,912.977686,319.258195,913.123872,121.68173,5692.88556,5693.88584
7539.96,5270.35,945.526,12.0555,1,319.13701827180614,19.243424875171115,0.000328948380075395,0.00032918418986524137,5.735253165569497e-07,3.0588106778882888e-09,0.999911565057879,4.577639949361599e-12,8230.99423,8230.85479,8231.71056,7775.54705,8231.57113,7775.25032,11831.0687,11454.7133,11830.7944,11497.2651,11831.0343,11454.6761,11830.7601,11497.2308,8186.47446,7680.71962,8187.25391,10575.3196,11368.5483,8791.75861,10578.0662,10735.6356,2432.25182,4153.51906,4165.68288,4443.4973,4153.49633,4443.65668,126.275364,9036.04206,9036.5268
3703.79,361.653,11467.7,21.5219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6262.73,1086.14,-21452.1,39.1845,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700.24,7725.15,-15084.4,1.96235,1,44.68499244188719,22.307869747111106,0.00032900180188061203,0.00032911121694356016,3.454604910256733e-07,3.059662617783566e-09,0.9999993016680577,8.5952592731776e-13,5613.64459,5613.63141,5614.27899,3910.05733,5614.26582,3910.01936,13445.1194,12684.8423,13444.9858,12772.7717,13445.0786,12684.8391,13444.9451,12772.6877,5609.27325,3897.84647,5609.94147,11551.0733,12679.7762,8350.41479,11557.7086,14963.3751,3594.98459,6475.99058,13103.8569,13104.8916,6476.15427,13105.0492,111.957422,16303.2971,16306.8162
9610.48,6341.56,-35716.4,46.9545,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5272.33,785.756,-30812.6,12.9965,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6472.83,2884.38,-25424.8,47.0329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629.729,8784.21,3706.47,8.63878,1,3.7446053274265068,24.3036656462525,0.00032895039908963943,0.00032927619819952383,0.0017009511029839172,3.0592445725535555e-09,0.9999566198472636,2.33405472196406e-12,5594.44403,5594.41783,5595.31849,3279.8105,5595.2923,3279.71986,14798.1279,13911.7694,14797.9071,14014.5977,14798.1078,13911.7538,14797.887,14014.5699,5585.34717,3249.22658,5586.27561,13791.7394,13911.0266,11927.2131,13830.9559,16804.8634,4074.4289,7256.76178,7318.15844,7376.78938,7256.88644,7376.93067,126.485406,9195.41443,9195.8329
7498.62,9631.0,-19932.3,40.7945,1,1.1677378918134274,24.565281396272272,0.00032896769863378114,0.0003285335367462894,4.5485732095863187e-07,3.0871594653131502e-09,0.9992583650179752,5.4061786581398885e-12,9642.47941,9637.60245,9643.1377,8278.94756,9638.26089,8267.46641,17771.4317,16905.0535,17771.2454,17005.0655,17770.7632,16903.7218,17770.5769,17004.9702,7991.09642,3220.95703,7992.92423,14049.2117,14587.3415,11233.3966,14056.5076,18516.0387,4558.8289,8177.42253,12462.3555,12462.9251,8177.58562,12463.3333,130.843638,10458.2859,10458.4848
5382.84,3265.62,30199.9,8.97072,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5574.68,7654.08,-4171.28,30.5205,1,197.3730526951903,20.15421708825612,0.0003289452205470696,0.0003288538086012278,8.820616330615868e-08,3.063332734022334e-09,0.9994035571295726,7.279606873178206e-12,7382.33406,7381.46269,7383.09273,6233.65641,7382.2214,6231.56744,14152.9608,13459.306,14152.7254,13539.5233,14152.7933,13458.9904,14152.5579,13539.4813,7080.1027,5488.60208,7081.48332,12514.6657,12804.8798,10647.2657,12519.4261,14920.8487,3572.7625,6436.12945,7270.37512,7274.14107,6436.29324,7274.40749,128.356407,8771.50462,8771.90616
5816.28,4092.21,26426.0,13.9304,1,169.96638110714363,19.645187710876602,0.0003289557095872429,0.00032930981814897295,5.689787120392813e-07,3.0573765361283587e-09,0.9999016243026098,4.9251691865048254e-12,6362.45454,6361.49016,6363.28188,5995.04765,6362.31757,5992.99536,9249.02897,8956.50702,9248.67353,8991.80031,9248.92623,8956.36911,9248.57078,8991.72542,6063.63699,5340.05374,6064.70969,7099.01621,8703.6089,3673.23372,7100.719,8350.85039,1851.18919,3397.27155,7851.89448,7852.54207,3397.43484,7852.9374,123.086096,9599.13791,9599.07374
4035.17,4944.51,12704.0,15.4467,1,108.82111903930424,20.299835683342298,0.0003288933573761598,0.00032954702218762253,5.717636259175445e-07,3.0568347768721504e-09,0.999726082258045,8.05336686847845e-12,5116.28798,5115.9243,5117.23187,4418.62712,5116.86822,4417.78114,9549.41853,9117.00883,9549.07044,9166.98063,9549.38412,9116.96136,9549.03602,9166.95541,4999.57837,4143.24964,5000.67638,8670.02478,9011.24833,7329.56558,8671.52997,9895.67963,2253.4255,4100.91178,4519.982,4528.08582,4101.07344,4528.21835,124.164031,6538.7017,6539.24501
7276.73,9195.14,13120.5,36.0244,1,62.53561732046471,21.213966818287368,0.00032894665704051725,0.00032908385837930436,4.0440307014294235e-05,3.0557874087263707e-09,0.999191106151971,7.106978565495462e-12,9290.92263,9289.12877,9291.59968,8004.35286,9289.80588,8000.16382,17027.7879,16206.9509,17027.5914,16303.4861,17027.6056,16206.5995,17027.4092,16303.4498,8671.34311,6473.06203,8672.34232,15354.809,15407.7165,13474.3692,15350.1683,17738.8327,4303.95008,6520.56574,6523.01138,7713.80415,6520.63672,7713.9681,126.985749,8904.55851,8904.92344
1325.16,1438.94,-7305.01,10.4387,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5694.64,9813.63,31105.3,14.8505,1,232.7557820991646,20.247634277373166,0.0003289822255055464,0.0003291786437228731,1.8570574063817264e-07,3.0586546676591917e-09,0.9999306306158864,2.241517214675808e-12,8399.00163,8398.00825,8399.70903,6717.57555,8398.71569,6715.08332,17316.1101,16390.4574,17315.9171,16500.7907,17316.0328,16390.3504,17315.8398,16500.7333,8075.51035,5874.70626,8076.32142,15547.7417,16166.8433,12760.1686,15548.3755,18707.6766,4584.0083,8201.61186,9890.74188,9892.74441,8201.77564,9893.0043,125.880542,12372.6643,12372.9437
6033.57,6642.61,-34049.9,1.84124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266.54,7687.52,13199.4,20.0656,1,237.73493527582912,19.96007216774423,0.00032895050338292085,0.00032922935741293806,2.4147343025624807e-07,3.0574183161728193e-09,0.9997661071030067,5.452872612170181e-12,7921.71301,7921.15445,7922.44582,6859.63616,7921.88729,6858.33946,14463.5548,13784.5126,14463.3246,13864.0018,14463.4946,13784.417,14463.2643,13863.9696,7738.11925,6427.98536,7738.98536,13227.578,13564.6417,11373.5633,13229.0079,15000.7644,3571.08459,5799.94994,5804.95167,6433.03423,5800.02842,6433.19823,126.333984,9192.9134,9193.27388
9856.66,5063.28,9704.57,13.8865,1,240.87705308164135,19.793131218074674,0.00032896593920482895,0.00032919251126874936,3.1785831194360844e-07,3.0585640495358974e-09,0.9999120475674356,3.949659559558866e-12,10339.3791,10339.0884,10340.0231,10019.6139,10339.7325,10019.0126,13125.2961,12822.9342,13125.0462,12856.8365,13125.2474,12822.8756,13124.9974,12856.795,10248.3472,9830.49948,10249.0151,11544.1989,12684.6988,9507.44003,11545.2133,10462.0808,2333.64145,3064.72528,3066.51892,4270.96363,3063.83199,4271.12716,125.763504,10455.7563,10456.2722
1443.07,1671.25,1154.55,43.4301,1,4.614550143593502,22.397401441370413,0.00032822250898568783,0.00032537934694817135,4.447949048394307e-07,3.510959450100235e-09,0.9677523184741099,2.0563728684918638e-10,1805.90193,1805.50775,1807.96406,1569.24739,1807.57026,1568.3323,3495.16883,3354.46691,3494.2132,3369.52925,3495.10994,3354.35036,3494.15429,3369.52131,1661.74028,1205.60289,1667.79824,3068.24905,3117.74741,2742.17252,3095.40206,3599.8202,731.216174,1361.18285,1601.81326,1614.73209,1361.32988,1614.90387,121.425294,1685.20333,1687.22177
7602.22,222.768,-8625.31,23.2921,1,2550.036292404538,14.144415016508491,0.00032891192936988485,0.0003269616737150564,6.712953624174042e-07,3.05699465852202e-09,0.9994050693891994,9.016366425067138e-12,7580.58375,7579.79384,7581.3474,7595.36029,7580.55753,7593.7811,7539.86822,7560.92412,7539.4113,7557.37237,7539.75377,7560.73763,7539.29685,7557.32944,7343.71291,7113.89062,7344.65877,5763.99707,7114.6492,4046.59503,5766.97071,729.152508,104.819918,212.525435,1948.38099,1949.10526,212.684649,1950.22557,124.704013,6919.67546,6920.32409
7486.57,2388.01,15276.7,9.02638,1,501.3238371041198,18.046518972758868,0.0003289421325714822,0.0003294371936245628,5.60976041664924e-07,3.058833667287733e-09,0.9999463734533673,3.941734647093143e-12,7620.01377,7619.83703,7620.75969,7529.36951,7620.58296,7529.01136,8565.91532,8471.45303,8565.53146,8481.83757,8565.87414,8471.41892,8565.49028,8481.7882,7566.73919,7421.01576,7567.54389,6934.16106,8397.82429,4785.11383,6935.397,5259.62719,1071.98952,2001.71299,4374.82733,4376.31134,2001.87652,4376.57757,122.419941,8677.42974,8678.11871
8133.82,7219.12,-15722.7,49.7692,1,1.327601336362543,24.522682791201785,0.0003288933340780618,0.0003281206417524323,2.7297686348876054e-06,3.1973162466736217e-09,0.9970547753002575,8.948001510044611e-12,9318.40272,9312.83313,9319.07621,8546.4766,9313.50681,8534.2259,14747.4017,14169.3817,14747.1794,14235.3815,14746.6359,14167.8398,14746.4136,14235.3039,7474.52921,3310.39817,7476.49799,11250.9621,11551.6129,9391.92842,11262.4962,14264.3719,3398.52071,6145.58598,9351.78666,9352.53117,6145.74917,9352.93706,129.723179,6419.77436,6420.29467
4216.62,799.952,-3815.15,19.1259,1,201.3042403103857,17.93017094616654,0.0003287839402476811,0.00032480295584363835,2.338704742119724e-06,3.0581994150927915e-09,0.998934112691406,3.6271629803398696e-11,4235.18907,4234.91482,4236.26787,4222.96439,4235.99367,4222.4131,4448.0541,4434.244,4447.29596,4434.83048,4448.00682,4434.17263,4447.24867,4434.80647,4151.8995,4053.34602,4153.50345,3516.91459,4271.17921,2517.31008,3523.45749,1993.68632,353.903651,682.035968,1578.30888,1581.21335,682.196883,1581.93786,123.108858,4192.34111,4193.28713
5041.52,5578.33,-11505.3,30.1351,1,139.4716499284823,20.191630410171953,0.00032893288924982155,0.0003282191820581386,2.4650392197623324e-07,3.0748123910944755e-09,0.9993027861737276,1.0500323586264731e-11,6162.74243,6161.12142,6163.5785,5437.10083,6161.95762,5433.39127,10936.3465,10457.9888,10936.0454,10512.2034,10936.1082,10457.5397,10935.8071,10512.1465,5621.75792,4100.55023,5623.77402,8939.65682,9618.91257,6953.76471,8947.47322,11128.7703,2585.95839,4704.74728,7566.71557,7567.55422,4704.91069,7568.01557,129.642853,7977.8024,7978.25292
