m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
8457.63,275.613,-48601.5,25.3124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6545.42,5275.86,-16465.5,36.4093,1,176.18312345642667,19.89129214112972,0.0003289369893388092,0.00032751312185222024,9.15249061743153e-07,3.103855068953565e-09,0.9990177522275536,1.0171841782596103e-11,7345.74176,7341.83048,7346.59905,6819.98751,7342.69908,6811.5265,11230.7413,10817.3738,11230.4475,10862.7491,11230.4436,10816.8435,11230.15,10862.6584,6281.80803,4191.05546,6284.69824,8309.62175,9283.48668,5908.53234,8318.54496,10577.7954,2460.94707,4494.51764,8508.28344,8508.92851,4494.495,8509.26642,129.064988,8091.26707,8091.9698
7905.19,7431.9,-44438.2,29.2236,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6306.58,5431.42,7717.58,16.5099,1,213.09053856305204,19.709299185245758,0.0003289242808949801,0.00032932379856509135,3.121174725665662e-07,3.05752657430568e-09,0.9997750520152986,6.824698837781013e-12,7174.18947,7173.85601,7175.06213,6605.5769,7174.72922,6604.852,11274.3037,10839.1186,11274.0158,10887.3159,11274.2639,10839.0687,11273.976,10887.2828,7079.78035,6398.52178,7080.81237,10234.292,10706.5529,8730.52675,10235.9143,10868.0466,2502.93414,3663.28512,3666.47855,4562.87766,3662.55166,4562.85071,124.426927,7703.67968,7703.88349
2160.36,6033.73,12583.0,42.1414,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9579.96,6759.64,-2961.36,40.2355,1,403.6345254249293,19.240303779773853,0.00032893568265821547,0.00032874707182720223,3.74932024451121e-07,3.0649820503107806e-09,0.9987831303755859,8.941352479177911e-12,10467.391,10464.8391,10468.1251,9883.84858,10465.5762,9878.4252,14896.6133,14395.3413,14896.3907,14450.9266,14896.3633,14394.8794,14896.1408,14450.8698,9731.38229,8240.72932,9733.15248,12662.3062,13124.3087,10963.4295,12665.6075,13468.4254,3167.97197,5111.90043,5116.66527,5742.64153,5111.54439,5742.61971,126.714036,8195.23034,8195.90559
5015.3,861.746,3295.34,12.0391,1,24.25634718259345,19.839908306294806,0.0003288169472661519,0.00032961819668321166,1.6974018937039825e-06,3.0562240892644746e-09,0.9996882395732515,1.8790146144665166e-11,5030.36143,5030.23655,5031.40322,5020.6166,5031.279,5020.36519,5222.21475,5207.20734,5221.67232,5207.66828,5222.18968,5207.18412,5221.64722,5207.64087,4994.97132,4949.25262,4996.05752,4346.01104,5146.32283,3318.23036,4347.87829,2092.45804,376.751413,713.747461,924.190969,941.116867,713.782599,940.763052,120.157507,4825.97738,4826.6571
7922.0,9457.05,26633.7,35.7374,1,143.9720584143018,20.96788935954451,0.0003289551376361499,0.000329130872314359,2.4530565154380484e-06,3.052424598420636e-09,0.9993348256442949,5.544267328779196e-12,9889.99056,9885.07293,9890.60074,8629.20868,9885.68899,8617.9711,17567.2902,16723.5996,17567.1023,16820.7999,17567.0722,16723.2,17566.8842,16820.7383,8544.26031,5022.66777,8548.73617,15459.1788,15729.3511,13239.063,15460.7457,18039.0699,4433.63682,7923.69489,8116.63806,8132.31873,7923.6592,8132.10709,125.602003,9516.97092,9517.13635
4579.52,3384.84,16664.3,8.40777,1,147.66141522332452,19.615898238929944,0.00032890778483218283,0.0003295989656765526,7.45979485387714e-07,3.0586831855293113e-09,0.9999309690394103,5.099359427462391e-12,5054.45115,5054.23307,5055.48461,4738.2245,5055.26682,4737.75845,7547.93964,7294.42881,7547.51482,7323.26221,7547.90481,7294.40585,7547.4801,7323.21318,4992.68716,4605.22328,4993.79382,6368.07144,7238.2511,4612.49924,6369.28476,6966.19138,1527.56317,2818.78479,5001.47271,5003.20464,2818.75249,5003.50542,120.234964,7044.42975,7045.1329
6759.93,2499.44,37620.9,34.348,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8473.41,9069.56,41152.1,40.5469,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
