m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
1853.51,7561.94,-9864.62,25.4155,1,1.0740312013860536,24.352674266143136,0.0003289478462847321,0.00032877204444845004,8.081283532937551e-07,3.0639747439979634e-09,0.9996096908063214,9.573127786922674e-12,5146.79706,5145.67472,5147.53357,3339.88079,5146.4195,3336.47005,12947.1356,12185.6384,12946.8819,12270.3704,12947.0095,12185.4323,12946.756,12270.3087,4840.90324,2268.92557,4844.35272,11270.0201,11627.5386,9162.52211,11276.0383,14464.0704,3517.85976,6345.94941,8699.32172,8700.62579,6345.9237,8700.64141,128.170123,8927.88908,8928.09613
8750.71,320.667,-23771.0,42.0009,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7403.97,2552.39,-23287.3,30.952,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7215.94,7637.56,2766.51,45.1908,1,37.83399532754823,21.336431534744282,0.000328900820732176,0.00032895966965647267,2.6854311570204734e-07,3.0706686148079e-09,0.9977373518571537,1.1307306877353298e-11,8669.88222,8667.59948,8670.62671,7727.83668,8668.3476,7722.70932,14758.8441,14099.8873,14758.6223,14175.0046,14758.6258,14099.469,14758.404,14174.9618,8007.3825,6136.04201,8009.00261,12914.8083,12963.3566,11495.3751,12956.3906,14862.1359,3572.11493,5421.00449,5423.79478,6441.78833,5420.59749,6441.76632,126.325326,6731.36174,6731.95502
1780.09,5395.05,-9571.82,17.6344,1,1.017260026577234,24.334088893793638,0.00032892404018164845,0.00032870497474139706,5.79732971487311e-07,3.0615642346480308e-09,0.9997414070195179,1.216004595568803e-11,3883.73786,3883.14235,3884.90441,2668.40553,3884.31357,2666.69132,9543.37536,9010.97174,9543.0343,9069.3217,9543.30303,9010.87446,9542.96238,9069.26557,3717.32635,2149.51448,3719.81151,8181.70244,8749.29476,6284.13805,8189.22398,10543.2275,2480.8522,4515.68202,7106.92423,7107.97515,4515.65096,7108.51065,127.806704,7616.83458,7617.26486
3792.34,4043.78,-22283.4,29.5496,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548.27,931.967,-8102.42,28.6662,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1310.0,3180.37,-7380.97,45.7013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7484.94,9271.15,12665.5,5.38644,1,330.66016944761697,19.799873912472684,0.00032897832561872817,0.0003292520374759641,1.0296985477317284e-07,3.0595393000716497e-09,0.9999900012907065,8.841600692913222e-13,9479.26815,9479.21866,9479.84404,8203.31639,9479.79467,8203.20255,17137.6891,16301.6351,17137.5103,16397.694,17137.6643,16301.6276,17137.4855,16397.6492,9465.27112,8171.08186,9465.88127,15824.5427,16281.9315,13512.5756,15825.643,17756.3589,4352.45262,6847.97789,6851.83159,7793.53624,6847.47216,7793.51486,122.503667,11866.1756,11866.03
4693.64,3479.44,-12065.7,35.0627,1,96.2416896651145,20.106643929302308,0.0003288803453268878,0.0003257174134759314,1.926906377337726e-06,3.1444685970925937e-09,0.9982826062791735,2.002530483000133e-11,5189.50837,5186.7928,5190.52627,4861.15874,5187.82784,4855.32567,7778.0494,7514.97816,7777.62889,7543.31454,7777.8408,7514.61052,7777.42061,7543.24598,4445.6363,3051.33344,4448.77547,5643.47429,6445.79827,3820.56626,5656.42719,7180.7717,1598.08644,2953.63015,6112.35223,6113.18433,2953.59967,6113.5073,128.119717,5881.46921,5882.424
