m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
9914.84,4070.7,-25325.6,20.1773,1,0.038355719047145645,28.568932963595458,0.0003289910619854343,0.0003275388975501505,8.581485530489138e-06,3.0644191570230477e-09,0.9998764389015055,3.5144705784987248e-12,10228.4026,10226.4978,10229.1306,10011.9366,10227.2327,10008.0226,12114.6423,11899.7245,12114.5607,11928.3856,12114.4279,11899.4249,12114.3476,11928.244,9688.98291,8871.11629,9689.92089,8214.83198,10965.0176,1742.31658,8221.2412,8573.62413,1902.70658,3521.10336,10500.8122,10501.2238,3521.08327,10501.3649,108.689985,13059.8167,13059.4976
7738.08,6431.31,-7370.76,26.2035,1,354.42361929809095,19.380884608896945,0.00032895665095591665,0.0003287608195715756,1.910118347262271e-07,3.061129537483892e-09,0.9996309200917011,6.311209811807721e-12,8727.62875,8726.49066,8728.41812,8080.50455,8727.28256,8078.04021,13399.9952,12890.3165,13399.7509,12946.577,13399.8618,12890.0984,13399.6176,12946.5169,8406.68908,7368.43045,8408.12385,11541.4518,12299.1009,9478.72315,11545.2398,12763.9008,3006.98885,5453.6437,6564.25049,6567.05252,5453.6227,6566.86773,127.239961,9553.2213,9553.40386
4617.51,7651.51,11643.2,18.3036,1,149.04849305613598,20.491760180994554,0.00032893559166734026,0.0003293209884281136,2.8554741276520315e-07,3.0575415479238427e-09,0.9997629988528888,5.455570028331681e-12,6688.75362,6688.29241,6689.50708,5393.09646,6689.04774,5391.96357,13721.0517,12995.2514,13720.8135,13077.8243,13721.0082,12995.192,13720.77,13077.7916,6559.03906,5068.01675,6560.37381,12705.1784,12837.9376,11013.9628,12706.955,14726.9424,3555.36384,5601.90186,5605.72557,6402.01847,5601.48972,6401.9928,125.182844,8277.51191,8277.73424
4227.09,2923.81,-4577.42,40.6788,1,105.12906065372245,19.814078091296462,0.00032876010663731285,0.0003262289700821269,4.909256675692128e-07,3.176102394542118e-09,0.9948604600616321,3.8496923452401385e-11,4617.04222,4615.48032,4618.14551,4358.31455,4616.59554,4354.98445,6749.05887,6534.41015,6748.57636,6557.05034,6748.91438,6534.14391,6748.43187,6557.01477,4182.23989,3367.94619,4185.1287,5484.64356,5799.88793,4596.48889,5495.66038,6134.63786,1329.05059,2465.93451,3498.03987,3500.91369,2465.89789,3501.26782,125.188981,3977.26486,3978.53812
9580.57,3143.99,-48858.0,22.4592,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769.58,8575.62,-1531.95,28.3748,1,1.7724664763519866,24.012015199940976,0.0003289358537017833,0.0003290224600905736,6.900407940390099e-08,3.0615711354439987e-09,0.9994264496173727,8.963660951641872e-12,5481.74325,5481.30703,5482.13757,3235.61839,5481.70389,3234.16065,14410.0909,13533.3443,14409.863,13632.2204,14409.993,13533.177,14409.7651,13632.1794,5360.70997,2806.9709,5361.95226,13076.7504,13151.4227,11352.6395,13150.2802,16273.0913,3993.21411,7166.80257,7555.99859,7563.95011,7166.77181,7563.72258,127.047212,8247.89319,8248.15505
3084.64,92.7793,8316.43,25.5596,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686.854,7452.05,673.903,15.5238,1,2.198864105261718,24.187874084757116,0.00032892497003803706,0.00032930693889806836,1.4651871114822142e-07,3.0586522599383545e-09,0.9998049442528357,6.375781211159897e-12,4780.11711,4780.01786,4780.76115,2819.53805,4780.66366,2819.20999,12648.6159,11890.2725,12648.3587,11975.2023,12648.5799,11890.2288,12648.3227,11975.1695,4752.09627,2725.49952,4753.21948,11730.4398,11776.674,10095.3732,11735.7169,14262.1771,3446.83793,6197.02053,6396.63126,6413.00642,6196.96776,6412.72708,126.084843,7734.65554,7734.91376
8102.44,3709.19,47976.9,29.1314,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100.66,3579.54,26500.8,2.63413,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463.307,4116.72,-262.687,18.2169,1,0.6245123730280134,24.67133652770786,0.0003287984139844502,0.00032949562133694843,5.959060993136787e-07,3.059117969067394e-09,0.9992206065235093,2.4643524647128968e-11,2688.36201,2688.27326,2689.91478,1589.5086,2689.82978,1589.21541,7308.27616,6897.77578,7307.83282,6942.29094,7308.24861,6897.73816,7307.80546,6942.26981,2663.36455,1505.06498,2665.97891,6724.30128,6799.10709,5778.29145,6732.44067,8172.65477,1859.60407,3405.68018,3936.22783,3942.64481,3404.70028,3942.334,124.569812,4546.92946,4547.44735
9464.45,6174.43,25575.2,29.6871,1,478.7281050535737,19.015294710499248,0.00032896092983438006,0.00032914264327581254,3.3362503383395474e-07,3.0529024838492816e-09,0.9995898853871718,5.93284655328454e-12,10211.5951,10208.0518,10212.345,9718.84413,10208.8038,9711.39384,14078.2031,13640.1445,14077.9647,13689.4107,14077.9952,13639.7896,14077.7567,13689.3364,9216.17971,7476.48913,9217.54023,11729.9227,12790.6874,9370.79184,11730.741,12324.2233,2863.35369,5201.0217,6986.22083,6987.93333,5201.0023,6987.75836,124.603926,9990.80304,9990.90349
9180.7,3626.18,26817.7,17.8589,1,501.962644621318,18.437267289143662,0.00032897304594941364,0.0003292684761237937,2.418555126364463e-07,3.056726912617102e-09,0.9998845515912019,4.151893982880648e-12,9442.58448,9441.07954,9443.35606,9264.29776,9441.85334,9261.22301,11072.3474,10885.7021,11072.0316,10908.5441,11072.2043,10885.5102,11071.8888,10908.4438,9015.77408,8370.56316,9016.66887,8381.33488,10445.9164,4810.87944,8382.6511,7607.11266,1653.47309,3055.17001,7669.49963,7670.1142,3055.14649,7670.61101,123.969515,11225.153,11225.6319
1840.32,1751.07,4511.05,29.1231,1,21.68532057052223,20.92434693012731,0.0003284681307071587,0.0003298359559074072,2.7983454309802833e-06,3.0393362429178517e-09,0.9924459152564792,1.1049014820687814e-10,2159.22603,2158.6817,2161.08807,1948.93571,2160.55077,1947.72399,3770.91858,3628.25258,3770.06625,3643.16018,3770.88767,3628.19903,3770.03491,3643.14788,2007.50231,1592.00376,2010.80498,3355.65079,3488.35336,2890.13768,3361.25591,3741.58527,766.614634,1427.70199,1696.09482,1708.33156,1427.74786,1708.43667,119.581921,2322.93683,2324.73017
6579.74,3758.01,37842.0,10.824,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868.961,3383.7,2448.42,8.97314,1,1.1119782037145938,24.954755754996206,0.0003287314261100265,0.00033073039352604676,7.257293822978652e-07,3.0577771090297013e-09,0.9997288519271055,1.5862474377233292e-11,2351.16876,2351.1483,2352.88426,1522.43504,2352.86458,1522.37304,6143.88223,5812.09941,6143.36591,5847.95546,6143.87234,5812.0929,6143.35622,5847.9409,2345.38224,1504.82046,2347.31951,5735.1091,5795.40519,4975.21276,5741.2195,6810.09733,1515.35108,2774.02033,3017.94719,3033.49319,2773.7796,3032.96354,121.995128,3815.58716,3816.1501
