m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
2053.09,1933.78,6517.52,14.3522,1,32.29750631431823,20.62374244492814,0.0003286349194180624,0.0003310269249619417,2.373760525307992e-06,3.0508360332107843e-09,0.9989507649101361,3.9920779831333466e-11,2400.71617,2400.50177,2402.42393,2171.2471,2402.21114,2170.77159,4147.39681,3990.26281,4146.62589,4006.97789,4147.37922,3990.24239,4146.60821,4006.96137,2340.12914,2034.45633,2342.22772,3694.45718,3938.61772,3053.6173,3697.22779,4102.21879,850.263199,1586.19678,2150.07817,2156.24847,1586.16247,2156.40365,119.129267,3090.11487,3091.51595
4988.56,2885.88,8714.41,28.4684,1,145.08938296640798,19.449345350340433,0.00032882386336975606,0.0003293119245559149,7.683989063568071e-07,3.0457628330371587e-09,0.9983732801692501,2.633917052783833e-11,5306.67398,5305.59921,5307.69599,5094.85604,5306.62331,5092.61289,7162.9447,6969.93977,7162.48431,6990.43572,7162.86747,6969.80996,7162.4069,6990.40625,5004.06932,4440.19941,5005.44232,6157.0561,6634.04871,5151.10971,6158.67493,6091.36609,1299.06875,2383.50408,2500.56669,2527.88241,2383.37911,2527.51355,122.210002,4926.61957,4927.6397
6372.02,3702.71,-11341.2,36.1303,1,235.58213208646256,19.220572384779523,0.00032889794784696013,0.0003269383918163412,4.092169612404595e-07,3.108503543578657e-09,0.9984645369438976,1.535817937544361e-11,6783.59399,6780.97308,6784.48632,6510.21726,6781.87676,6504.7279,9109.67985,8859.87149,9109.31564,8886.43724,9109.45338,8859.46889,9109.08937,8886.37052,6058.73237,4875.24842,6060.76676,6904.72383,7727.51936,5218.8444,6913.56178,7707.05648,1710.7096,3158.79895,5806.24594,5807.04743,3158.77166,5807.67715,127.685176,6459.82213,6460.7392
3345.86,8657.38,-15676.3,31.4489,1,0.5192297518853394,24.914834902111274,0.00032896575136350165,0.0003286061220314207,1.844317155312531e-06,3.0703907664217677e-09,0.9995511314120403,7.812568217000497e-12,6420.95238,6418.13885,6421.52087,4611.91633,6418.7195,4604.16843,14908.6683,14049.3346,14908.4462,14145.5309,14908.432,14048.9206,14908.21,14145.4432,5686.72121,1931.50379,5691.72958,12381.3834,12901.4338,9742.75031,12387.7649,16445.8008,4063.02594,7301.49135,10916.0792,10916.801,7301.46975,10917.2703,129.174885,10292.1924,10292.3031
4712.28,3149.26,-18323.3,25.6515,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198.92,1663.44,-12060.0,13.7667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6161.25,5419.98,-1070.51,13.1263,1,230.6154936149983,19.637047072762385,0.00032893444734627864,0.0003292010072026477,2.1351378252044226e-07,3.0587472979660005e-09,0.9998746499860776,4.98016004141601e-12,7045.22747,7045.05278,7046.10345,6467.05011,7045.92935,6466.6688,11189.0519,10751.3669,11188.764,10799.4324,11189.0148,10751.3286,11188.727,10799.3932,6995.71805,6358.49297,6996.75289,10060.151,10650.216,8405.60591,10063.281,10848.2906,2506.46485,4515.67487,4590.38743,4635.87835,4515.47876,4635.6298,125.353652,8196.58296,8196.77187
5933.27,6763.76,18667.4,47.2295,1,0.6410167042525663,24.568757287502088,0.0003288431546014218,0.00032927752850166734,5.556187045308429e-06,3.0389368928907177e-09,0.9962239494135463,1.4274196338985037e-11,7305.41098,7299.62606,7306.24674,6420.93756,7300.46982,6407.80485,12923.8955,12330.8042,12923.6414,12397.9322,12923.6614,12330.3535,12923.407,12397.8878,5829.75623,1678.06989,5836.7525,11171.7634,11218.418,9810.3447,11190.4449,13163.314,3122.67175,5634.72172,5818.45413,5834.83095,5634.67756,5834.57846,124.575763,5275.29013,5276.20634
5727.03,6753.08,14735.7,10.3819,1,204.4540036350161,19.98211206031548,0.00032894430519610126,0.00032938081515007536,2.3744728586105227e-07,3.058865966208386e-09,0.9999324025765295,3.1568762595640788e-12,7138.22028,7138.00517,7139.04746,6229.01455,7138.83271,6228.52259,12829.6461,12231.6979,12829.3958,12299.6212,12829.617,12231.674,12829.3667,12299.5836,7077.45007,6089.10838,7078.38428,11753.0188,12169.9122,9973.83725,11753.9824,13178.0639,3128.42407,5358.70511,5370.38401,5661.46475,5358.29049,5661.4265,123.840636,8804.62726,8804.76066
2115.65,74.9322,-11381.3,47.5642,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8937.61,891.547,-51659.3,24.2408,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510.68,7358.71,-4132.6,10.996,1,29.48788135232216,22.69217723391005,0.0003289452907378383,0.0003292399086101066,2.0083192042033675e-07,3.059199964423773e-09,0.9999251309244476,3.989561498903843e-12,5303.88543,5303.77525,5304.6195,3686.18312,5304.51064,3685.87227,12736.8793,12004.8557,12736.6261,12086.6666,12736.8434,12004.8241,12736.5903,12086.6223,5272.48615,3597.68481,5273.75947,11609.361,11922.7016,9693.50764,11613.3578,14131.718,3417.95789,6157.49548,7235.15253,7238.38569,6157.46825,7238.13514,126.416857,8843.27959,8843.46688
7837.81,2036.69,-21142.3,6.20088,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7621.89,2378.35,-37947.9,22.6917,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8508.15,8416.02,-23092.2,39.781,1,144.84637005533455,20.98150274939396,0.0003289718762973985,0.0003283053061802525,1.8337183578529712e-06,3.0902477878656346e-09,0.9993436704643601,5.434265513886218e-12,10018.2261,10011.8087,10018.9384,9040.58939,10012.5303,9026.3263,16477.7302,15765.9938,16477.5284,15845.9346,16477.2709,15765.1514,16477.0692,15845.8106,8327.148,4462.25522,8331.71599,12341.4524,13347.2987,9160.54766,12348.1963,16283.6939,3987.54252,7185.50657,12362.757,12363.2605,7185.48999,12363.5962,129.953311,10815.0162,10815.4678
7186.87,6912.16,35728.3,16.4957,1,273.8042170665744,19.69257451370313,0.00032898359059680684,0.00032915801692723,2.4508424830186356e-07,3.0579516011493934e-09,0.9999213229945048,2.9881205367280804e-12,8394.01656,8391.9758,8394.81436,7603.87194,8392.77484,7599.35973,13713.4438,13140.5297,13713.2006,13208.5018,13713.3097,13140.3547,13713.0665,13208.3967,7809.84978,6237.04848,7810.97587,11126.7115,12732.3115,7409.98031,11127.5796,13449.7972,3203.28453,5793.43707,10552.6452,10553.3026,5793.41811,10553.7477,124.275068,12566.818,12567.0707
3653.81,4041.6,-17525.2,36.114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7911.38,3055.05,36665.6,32.9319,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
