m0,m12,a0,tanb,sgnmu,omega,xf,bsgsm,bsgnlo,deltarho,bsmumu,btaunu,gmuon,msne,msnm,msel,mser,msml,msmr,msdl,msdr,msul,msur,mssl,mssr,mscl,mscr,msnl,msl1,msl2,msb1,msb2,mst1,mst2,mg,mneut1,mneut2,mneut3,mneut4,mchg1,mchg2,mhsm,mh,mhc
1333.57,7046.58,4246.78,33.1033,1,1.3670815411549342,24.17184966518069,0.0003288836709588781,0.00032915202089930137,1.865630662021515e-07,3.061798071851706e-09,0.9986210957263796,1.517696353951504e-11,4673.51844,4673.07678,4674.29904,2907.84087,4673.86098,2906.4446,12063.5774,11351.5064,12063.3056,11431.6374,12063.4978,11351.364,12063.226,11431.6104,4549.55539,2491.62885,4551.39222,10955.7601,11126.2598,9801.82175,11127.2005,13536.5361,3251.35043,5569.4772,5579.70539,5876.46237,5569.16283,5876.42197,125.729996,6216.24613,6216.62202
3499.96,6460.17,-2736.82,48.8324,1,2.1325801482772806,24.15835972290971,0.0003288356121827293,0.00032852257148215395,1.9571871352991352e-07,3.1546479413695166e-09,0.9954939186035839,2.0994017603517006e-11,5401.04698,5399.41542,5401.96757,4222.90767,5400.34498,4218.74987,11609.7154,10989.6268,11609.4324,11059.4194,11609.5094,10989.2291,11609.2263,11059.3803,4963.97181,2965.95566,4966.7893,9892.34443,10099.8184,8921.5395,10100.7433,12549.4741,2995.53494,5417.55856,5975.9406,5981.32446,5417.52898,5981.09195,126.486681,5095.06171,5096.06224
8475.41,6043.38,-42930.6,16.2439,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5366.96,8059.24,-19702.8,37.317,1,0.29349744406265377,25.427529058787815,0.00032896248873329746,0.00032826301105171203,2.738786560943241e-06,3.0889484145586353e-09,0.9993210442260303,7.70928996030373e-12,7403.74658,7398.71177,7404.5103,6122.50791,7399.48779,6110.331,14612.9815,13858.2527,14612.7537,13942.5245,14612.6253,13857.6059,14612.3976,13942.4177,6133.38867,1827.40065,6139.34541,11286.5482,12015.2542,8433.12498,11294.3485,15457.9629,3789.86535,6833.77844,11472.912,11473.4936,6833.75869,11473.8459,129.529952,9921.64063,9922.14666
2644.47,2291.89,88.8609,40.9007,1,33.59029512959538,20.671670945559857,0.00032856862963803827,0.00032653061780268716,1.0416844443342483e-06,3.1913394159956254e-09,0.9885471311052537,8.710003878271751e-11,3026.08085,3025.37193,3027.53524,2773.83002,3026.83704,2772.27143,4980.17684,4797.48811,4979.53019,4816.74607,4980.10502,4797.35375,4979.45818,4816.7285,2820.95477,2300.74252,2824.52843,4309.33479,4422.91643,3770.52388,4321.75531,4840.54581,1022.69164,1895.05454,2129.63083,2144.13432,1894.79122,2143.62648,122.659086,2679.07894,2680.74633
1445.13,9671.45,-5865.99,20.4825,1,2.647545921638118,23.757067091533028,0.00032896626899704044,0.00032904507351135356,2.8196804752039453e-07,3.0596914401334185e-09,0.9998146300643195,4.976219906334831e-12,6271.77041,6271.31279,6272.09848,3825.43577,6271.64578,3823.9652,16154.8726,15165.9704,16154.6694,15277.6948,16154.7866,15165.8434,16154.5836,15277.6394,6144.38643,3396.27912,6146.22084,14641.8834,14829.1883,12316.2661,14646.0316,18228.3668,4530.97534,8113.69492,9272.64876,9275.39648,8113.67162,9275.20395,127.798151,10451.4271,10451.6096
2371.45,9937.63,3194.72,23.8563,1,4.035824394177389,23.62010468017796,0.0003289543568842133,0.00032913921733909783,4.14617169414716e-08,3.0586688718796247e-09,0.9996916355896038,5.30921205230209e-12,6699.4937,6699.17629,6699.79763,4337.72782,6699.48135,4336.76198,16662.8813,15653.0556,16662.6841,15768.2717,16662.8077,15652.9387,16662.6106,15768.2322,6609.61961,4056.64699,6610.2338,15336.0047,15436.2477,13416.8945,15436.5844,18720.575,4654.97578,7757.73868,7763.21971,8320.73771,7757.47064,8320.71137,126.890203,9457.41139,9457.62417
8433.61,6991.2,-5048.03,34.1664,1,383.7851233264884,19.378290476195506,0.00032894902516794134,0.0003287527511470935,2.966113584949302e-07,3.0636547339630753e-09,0.9992853953426137,7.455481791835044e-12,9503.4836,9501.68811,9504.238,8803.92165,9502.44582,8800.03557,14518.6953,13964.5035,14518.469,14026.1404,14518.5048,13964.1639,14518.2786,14026.0827,8993.89105,7658.84567,8995.65486,12501.4204,13035.0752,10610.298,12504.9863,13807.3602,3277.1316,5917.0029,6191.69851,6202.91743,5916.97428,6202.68993,127.058127,9000.71786,9000.90504
6655.25,9587.65,-3824.78,32.0972,1,257.7891548086301,20.178943498784076,0.0003289638005401258,0.00032893525260400643,6.575380710241731e-07,3.0618351777051647e-09,0.9995143144728628,5.397672451631854e-12,8981.72065,8980.42207,8982.17798,7512.4593,8980.88585,7509.37089,17274.0269,16379.6402,17273.8364,16481.6061,17273.859,16379.3423,17273.6685,16481.5485,8615.7528,6607.94464,8618.38085,15371.7272,15570.962,13183.8172,15375.8782,18271.4241,4522.4656,8078.37081,8270.08106,8285.98735,8078.33619,8285.78449,127.613392,10193.0084,10193.1961
3519.6,2258.12,-8959.99,28.0173,1,67.37740416147264,20.05095146243859,0.0003288307912765086,0.00032324320274637077,3.99589522359251e-06,3.128067523093129e-09,0.9983204640125973,3.112213447196788e-11,3803.17543,3801.84716,3804.38786,3613.36629,3803.07848,3610.54208,5438.3508,5278.48007,5437.75435,5295.55272,5438.23402,5278.2866,5437.63865,5295.49926,3430.98722,2767.90532,3434.23872,3952.71322,4716.85504,2394.01919,3970.08047,4824.24461,1020.99178,1911.057,4422.35346,4423.42262,1910.37363,4423.76829,126.938541,4774.18875,4775.71817
